"프로젝트","PM","상태","계획진척률","구분","과제명","담당자","시작일","종료일","산출물","진행률","비고(가중치)"
"Foreign Biz","조윤상","주의","94","대과제","G1. 기획·검증·MVP 범위 동결","공통","2026-04-01","2026-08-21","데스크리서치→현장검증→제로베이스 재검증까지 완료. 남은 것은 범위 동결서와 8/17 MVP 착수 게이트. (소과제 12건)","79","대과제가중치 20·소과제가중치 합 20"
"Foreign Biz","조윤상","주의","94","상세","G1.1 아이템 스캔·진입 후보 2종 선별(VisaDesk·BackWon)","공통","2026-04-01","2026-06-25","output/screening.html","100","1·1차"
"Foreign Biz","조윤상","주의","94","상세","G1.2 경쟁구도 전수조사·포지셔닝(25개 기능 MECE 지도)","공통","2026-04-01","2026-06-25","output/backwon-research/20-foreigner-market-full-mece-competitor-map.md","100","1·1차"
"Foreign Biz","조윤상","주의","94","상세","G1.3 시장 모수·세그먼트·추진배경 정리","공통","2026-04-01","2026-06-25","output/background-market-summary.html","100","1·1차"
"Foreign Biz","조윤상","주의","94","상세","G1.4 5축 타당성 1차 판정(조건부 GO)·정책 3년 워치 반영(E-9 축소·E-7-4 점수제)","공통","2026-04-01","2026-06-25","output/feasibility-gate.html · output/policy-watch.html · handoff/policy-watch-3yr.md","100","2·1차"
"Foreign Biz","조윤상","주의","94","상세","G1.5 IR 1페이저·타당성 보고서·GTM readout·6/25 경영진 보고","공통","2026-04-01","2026-06-25","output/ir-onepager.html · output/gtm.html · WEEKLY.md 기완료 절","100","1·1차"
"Foreign Biz","조윤상","주의","94","상세","G1.6 제로베이스 재검증(환급 실과금전환 3~9%·금융 데이터 레이어로 재정의)","공통","2026-06-29","2026-07-31","output/backwon-research/backwon-zero-base-report.html","100","2·1차"
"Foreign Biz","조윤상","주의","94","상세","G1.7 수요·페인 현장검증 인터뷰(기업·행정사·근로자)","공통","2026-07-06","2026-08-21","WEEKLY.md 7/6주 — 인터뷰 결과 산출물 미확인","75","2·추정"
"Foreign Biz","조윤상","주의","94","상세","G1.8 지불의사(WTP) 실증 → 가격 전면 재설계 3.9/7.9/14.9만원","VisaDesk","2026-07-13","2026-08-07","output/backwon-research/34-visadesk-erp-bridge-low-price-service-replan.md","100","2·1차"
"Foreign Biz","조윤상","주의","94","상세","G1.9 규제·운영 레드라인 조문 실측·대외 표현 대체표","공통","2026-07-27","2026-08-07","output/backwon-research/22-edge-services-regulatory-review.md","100","1·1차"
"Foreign Biz","조윤상","주의","94","상세","G1.10 금융연계 수익모델·필요 고객수 역산(대출 매출 모델 v0.06)","BackWon","2026-07-20","2026-08-10","output/backwon-research/외국인대출_매출매트릭스 v0.06 · 41/42 시뮬레이션","100","1·1차"
"Foreign Biz","조윤상","주의","94","상세","G1.11 MVP 범위 동결서 v1(화면 목록·데이터 사전·동의 항목·제외 범위표)","공통","2026-07-20","2026-08-21","output/backwon-research/16-backwon-user-flow-refund-finance-functional-spec.md — 동결 선언 문서 미확인","75","3·추정"
"Foreign Biz","조윤상","주의","94","상세","G1.12 MVP 착수 게이트: 5축 점수표 갱신·GO 판정·30/60/90일 실행계획","공통","2026-08-17","2026-08-21","예정 — output/feasibility-gate.html 갱신 + GO/NO-GO 메모","0","3·목표·가정"
"Foreign Biz","조윤상","정상","0","대과제","G2. VisaDesk MVP (B2B 준법관리)","VisaDesk","2026-08-13","2026-09-18","데모(약 20화면) → 실데이터 MVP 승격. 범위: 원장·예외관리·알림·월간 리포트. 스택 Next.js+Supabase+Tailwind. (소과제 7건)","25","대과제가중치 22·소과제가중치 합 17"
"Foreign Biz","조윤상","정상","0","상세","G2.1 랜딩·셀프 체크·대시보드 데모(약 20화면) 라이브","VisaDesk","2026-06-01","2026-08-13","https://plugnx-visaops.netlify.app — 샘플 데이터 기반 데모 수준","75","2·1차"
"Foreign Biz","조윤상","정상","0","상세","G2.2 앱 기반 구성: Supabase 스키마·인증·역할권한·스테이징 배포","VisaDesk","2026-08-13","2026-08-22","webapp 저장소 존재 — MVP용 DB·인증 구현 미확인","25","3·추정"
"Foreign Biz","조윤상","정상","0","상세","G2.3 기업 계정·사업장 정보·담당자 온보딩","VisaDesk","2026-08-18","2026-08-28","데모 화면만 존재 — 실데이터 저장 미구현","25","2·추정"
"Foreign Biz","조윤상","정상","0","상세","G2.4 근로자 원장 + 표준 Excel/CSV 이관(무료 이관 정책)","VisaDesk","2026-08-18","2026-09-04","이관 정책 확정(PROJECT.md) — 업로드·매핑 구현 미착수","25","3·추정"
"Foreign Biz","조윤상","정상","0","상세","G2.5 준법 예외 룰 v1(체류·여권·계약·서류 만료/누락) + 알림 센터","VisaDesk","2026-08-25","2026-09-11","룰 정의 문서 존재 — 룰 엔진·알림 발송 미구현","25","3·추정"
"Foreign Biz","조윤상","정상","0","상세","G2.6 월간 리스크 리포트 생성·공유 + 전문가 확인 티켓·운영자 화면","VisaDesk","2026-09-01","2026-09-15","예정","0","2·목표·가정"
"Foreign Biz","조윤상","정상","0","상세","G2.7 QA: 핵심 여정·권한·테넌트 데이터 격리 테스트 → MVP 릴리스","VisaDesk","2026-09-11","2026-09-18","예정 — 헤드리스 브라우저 실행 확인 포함","0","2·목표·가정"
"Foreign Biz","조윤상","정상","0","대과제","G3. BackWon MVP (B2C 환급·급여 셀프체크)","BackWon","2026-08-13","2026-09-25","환급·급여 셀프체크는 동의·데이터 획득 입구. 대행 수수료 0원, 근로자에게 받는 돈 없음. (소과제 8건)","16","대과제가중치 18·소과제가중치 합 15"
"Foreign Biz","조윤상","정상","0","상세","G3.1 리브랜딩 소스(moneeback→BackWon) 스테이징 재배포","BackWon","2026-08-13","2026-08-22","소스 개명 완료('26.7.31) — 라이브 재배포 미실행","25","1·추정"
"Foreign Biz","조윤상","정상","0","상세","G3.2 VisaDesk 근로자 초대 링크·다국어 온보딩(1차 3개 언어)·동의 화면","BackWon","2026-08-18","2026-09-04","기존 프로토타입 다국어 일부 — 초대 퍼널 미구현","25","2·추정"
"Foreign Biz","조윤상","정상","0","상세","G3.3 환급 셀프 체크(연금 반환일시금·퇴직금·출국만기·귀국비용) 추정 로직","BackWon","2026-08-13","2026-09-08","moneeback 프로토타입 계산 로직 존재 — 4항목 통합·최신 요율 반영 남음","40","3·추정"
"Foreign Biz","조윤상","정상","0","상세","G3.4 출국정산 체크리스트·준비서류·공식기관(공단·고용센터) 링크","BackWon","2026-08-25","2026-09-11","backwon-refund skill 지식 존재 — 화면 미구현","25","2·추정"
"Foreign Biz","조윤상","정상","0","상세","G3.5 급여 적정성 셀프 체크(계약·공제 입력 기반 차이 안내)","BackWon","2026-09-01","2026-09-18","예정","0","2·목표·가정"
"Foreign Biz","조윤상","정상","0","상세","G3.6 금융 준비도·목적별 동의 흐름(동의 증적 저장)","BackWon","2026-09-08","2026-09-22","예정 — 신용점수 자체 산출 금지 경계 준수","0","2·목표·가정"
"Foreign Biz","조윤상","정상","0","상세","G3.7 VisaDesk 연계 전환 이벤트(초대→가입→체크) 계측·집계 대시보드","BackWon","2026-09-08","2026-09-22","예정","0","1·목표·가정"
"Foreign Biz","조윤상","정상","0","상세","G3.8 QA: 다국어·모바일·금지표현 점검 → MVP 릴리스","BackWon","2026-09-18","2026-09-25","예정 — 22-edge-services-regulatory-review.md 표현 대체표 전수 점검","0","2·목표·가정"
"Foreign Biz","조윤상","정상","0","대과제","G4. ForeignID L1·공통 데이터·보안","공통","2026-08-17","2026-09-25","MVP 범위는 L1(여권+셀카)+운영자 확인까지. L2·L3, 금융거래 인증은 MVP 제외. (소과제 7건)","15","대과제가중치 15·소과제가중치 합 15"
"Foreign Biz","조윤상","정상","0","상세","G4.1 L1 여권·셀카 업로드 + OCR 기본 필드 추출","ForeignID","2026-08-17","2026-09-08","설계 문서만 존재(.claude/skills/foreignid-auth) — 구현 미착수","25","3·추정"
"Foreign Biz","조윤상","정상","0","상세","G4.2 운영자 확인·재요청·상태 이력(수동 검수 큐)","ForeignID","2026-09-01","2026-09-18","예정","0","2·목표·가정"
"Foreign Biz","조윤상","정상","0","상세","G4.3 공통 데이터 모델·데이터 사전(기업·근로자·서류·체류·체크결과)","공통","2026-08-17","2026-09-04","설계 산출물 존재 — DB 스키마 구현 미확인","25","3·추정"
"Foreign Biz","조윤상","정상","0","상세","G4.4 동의센터: 목적·기관·필드·기간별 동의와 철회 이력","공통","2026-09-01","2026-09-18","예정","0","2·목표·가정"
"Foreign Biz","조윤상","정상","0","상세","G4.5 개인정보·보안 통제(최소수집·마스킹·암호화·역할별 접근·감사로그·파기)","공통","2026-09-08","2026-09-25","예정 — 보안 체크리스트·권한표·보관/파기 정책","0","2·목표·가정"
"Foreign Biz","조윤상","정상","0","상세","G4.6 리드 API·전환 퍼널 이벤트(Slack·Resend)","공통","2026-07-01","2026-08-13","/api/lead 라이브 — 이벤트 3종 가동","75","1·1차"
"Foreign Biz","조윤상","정상","0","상세","G4.7 공통 ID 연동(VisaDesk↔BackWon 초대·동의 상태) + 장애 대응 런북","공통","2026-09-08","2026-09-25","예정","0","2·목표·가정"
"Foreign Biz","조윤상","정상","0","대과제","G5. MVP 실사용 검증(파일럿 8주)","공통","2026-08-13","2026-11-27","목표: 15사 · 근로자 300명 · 유료전환 8사 · 매출 300만원 [목표·가정] (PROJECT.md). 프로젝트 목표가 아니라 MVP 검증 수단. (소과제 7건)","2","대과제가중치 15·소과제가중치 합 13"
"Foreign Biz","조윤상","정상","0","상세","G5.1 ICP 타깃 파이프라인 45~60사 구축·1차 컨택","공통","2026-08-13","2026-09-12","output/gtm/10-visadesk-poc-gtm-research-pack.md — 타깃 리스트 파일 미확인","25","1·추정"
"Foreign Biz","조윤상","정상","0","상세","G5.2 파일럿 1~2사 LOI 확보","공통","2026-08-13","2026-09-18","예정 — 8/10주 착수","0","2·목표·가정"
"Foreign Biz","조윤상","정상","0","상세","G5.3 파일럿 Charter(범위·제외·KPI·데이터 책임)·킥오프","공통","2026-09-21","2026-09-25","예정","0","1·목표·가정"
"Foreign Biz","조윤상","정상","0","상세","G5.4 W1~W2 활성화: 15사 온보딩·근로자 300명 등록(활성화율 70%·TTV 10일)","공통","2026-09-28","2026-10-09","예정","0","3·목표·가정"
"Foreign Biz","조윤상","정상","0","상세","G5.5 W3~W4 가치검증: High 예외 해소·첫 월간 리포트 결재권자 열람","공통","2026-10-12","2026-10-23","예정 — 전환의향 6사·High 해소율 30% 게이트","0","2·목표·가정"
"Foreign Biz","조윤상","정상","0","상세","G5.6 W5~W8 반복사용·유료전환 8사·매출 300만원","공통","2026-10-26","2026-11-20","예정 — PROJECT.md 목표·가정","0","3·목표·가정"
"Foreign Biz","조윤상","정상","0","상세","G5.7 결과 회고(KPI·VOC·운영원가)·백로그·확대/피벗 판정","공통","2026-11-23","2026-11-27","예정","0","1·목표·가정"
"Foreign Biz","조윤상","정상","0","대과제","G6. 정식 가동·과금·운영 전환","공통","2026-11-23","2026-12-31","요금제 가동·도메인 전환·운영체계. 12개월 반복매출 3억 트랙 진입. (소과제 4건)","0","대과제가중치 10·소과제가중치 합 8"
"Foreign Biz","조윤상","정상","0","상세","G6.1 요금제 3.9/7.9/14.9만원 구독·결제 가동","VisaDesk","2026-11-23","2026-12-31","예정","0","3·목표·가정"
"Foreign Biz","조윤상","정상","0","상세","G6.2 BackWon 도메인 전환(moneeback → BackWon)·정식 배포","BackWon","2026-11-23","2026-12-31","예정 — 스테이징 재배포(G3) 이후","0","1·목표·가정"
"Foreign Biz","조윤상","정상","0","상세","G6.3 운영체계: Managed Ops·다국어 CS·장애 대응 당번","공통","2026-11-23","2026-12-31","예정","0","2·목표·가정"
"Foreign Biz","조윤상","정상","0","상세","G6.4 정식 가동 선언·12개월 반복매출 3억 트랙 진입","공통","2026-11-23","2026-12-31","예정 — PROJECT.md 12개월 목표","0","2·목표·가정"
