"프로젝트","PM","상태","계획진척률","구분","과제명","담당자","시작일","종료일","산출물","진행률","비고(가중치)"
"[구버전·폐기] 이 파일은 구버전(2026-08-12)이다 — 가져오지 말 것","","","","안내","폐기 2026-08-13 · 목표가 PoC → MVP 가동(GA)으로 바뀌어 대체됨. 새 정본: output/wbs/wbs.csv · wbs.xlsx (대과제 G1~G6 / 소과제 45건)","","","","output/wbs/wbs-data.js","",""
"[구버전·폐기] 1. 기획 검증·MVP 범위 동결","PlugNX 신사업팀","주의","85","대과제","1.1 시장·고객·경쟁·정책 근거 정리","사업기획","2026-06-01","2026-06-26","시장·경쟁·정책·타당성 근거팩","100","20"
"[구버전·폐기] 1. 기획 검증·MVP 범위 동결","PlugNX 신사업팀","주의","85","상세","1.1.1 시장 모수·고객 페인·경쟁 빈공간 정리","사업기획","2026-06-01","2026-06-19","시장분석·경쟁지도","100","50"
"[구버전·폐기] 1. 기획 검증·MVP 범위 동결","PlugNX 신사업팀","주의","85","상세","1.1.2 정책·규제·5축 타당성 및 조건부 GO 정리","사업기획","2026-06-08","2026-06-26","정책워치·타당성 게이트","100","50"
"[구버전·폐기] 1. 기획 검증·MVP 범위 동결","PlugNX 신사업팀","주의","85","대과제","1.2 사업모델·가격·GTM 재설계","사업기획·GTM","2026-06-22","2026-08-07","가격·BM·GTM·PoC 설계팩","95","25"
"[구버전·폐기] 1. 기획 검증·MVP 범위 동결","PlugNX 신사업팀","주의","85","상세","1.2.1 VisaDesk ERP 브리지형 요금제·표준 이관 정책","사업기획","2026-07-13","2026-08-07","가격·서비스 재설계안","100","35"
"[구버전·폐기] 1. 기획 검증·MVP 범위 동결","PlugNX 신사업팀","주의","85","상세","1.2.2 BackWon 동의 기반 금융 데이터 입구 재정의","사업기획","2026-06-22","2026-08-06","제로베이스·금융모델","100","35"
"[구버전·폐기] 1. 기획 검증·MVP 범위 동결","PlugNX 신사업팀","주의","85","상세","1.2.3 ICP·영업·채널·가격실험·8주 PoC 패키지","GTM","2026-07-20","2026-08-14","GTM 워크스트림·PoC 팩","85","30"
"[구버전·폐기] 1. 기획 검증·MVP 범위 동결","PlugNX 신사업팀","주의","85","대과제","1.3 MVP 스코프·데이터 필드 동결","제품기획","2026-07-20","2026-08-21","MVP 스코프 v1·데이터 사전","65","35"
"[구버전·폐기] 1. 기획 검증·MVP 범위 동결","PlugNX 신사업팀","주의","85","상세","1.3.1 VisaDesk 핵심 화면·업무 흐름·제외 범위 확정","제품기획","2026-07-20","2026-08-14","VisaDesk MVP 스코프","75","35"
"[구버전·폐기] 1. 기획 검증·MVP 범위 동결","PlugNX 신사업팀","주의","85","상세","1.3.2 BackWon 셀프 체크·초대와 ForeignID L1 범위 확정","제품기획","2026-07-20","2026-08-14","BackWon·ForeignID 스코프","75","35"
"[구버전·폐기] 1. 기획 검증·MVP 범위 동결","PlugNX 신사업팀","주의","85","상세","1.3.3 공통 데이터 모델·동의 항목·이벤트 정의","제품기획·개발","2026-08-10","2026-08-21","데이터 사전·동의표·이벤트표","25","30"
"[구버전·폐기] 1. 기획 검증·MVP 범위 동결","PlugNX 신사업팀","주의","85","대과제","1.4 실행 GO/NO-GO 확정","신사업 책임자","2026-08-10","2026-08-21","의사결정 메모·30/60/90일 계획","25","20"
"[구버전·폐기] 1. 기획 검증·MVP 범위 동결","PlugNX 신사업팀","주의","85","상세","1.4.1 파일럿 후보 1~2사 반응·LOI와 현장 피드백 반영","GTM","2026-08-10","2026-08-21","LOI·인터뷰 메모","15","50"
"[구버전·폐기] 1. 기획 검증·MVP 범위 동결","PlugNX 신사업팀","주의","85","상세","1.4.2 5축 점수표 갱신 및 30/60/90일 계획 확정","신사업 책임자","2026-08-17","2026-08-21","GO/NO-GO·실행계획","25","50"
"[구버전·폐기] 2. VisaDesk 웹 MVP","제품·개발팀","주의","20","대과제","2.1 MVP UX·기술 기반","제품기획·개발","2026-08-13","2026-08-21","화면 흐름·스테이징 환경","60","15"
"[구버전·폐기] 2. VisaDesk 웹 MVP","제품·개발팀","주의","20","상세","2.1.1 기존 랜딩·대시보드 데모를 PoC 사용자 흐름으로 정리","제품기획","2026-08-13","2026-08-18","화면 흐름·UI 기준","70","50"
"[구버전·폐기] 2. VisaDesk 웹 MVP","제품·개발팀","주의","20","상세","2.1.2 앱 저장소·DB·인증·배포 환경 구성","개발","2026-08-13","2026-08-21","실행 가능한 스테이징","20","50"
"[구버전·폐기] 2. VisaDesk 웹 MVP","제품·개발팀","주의","20","대과제","2.2 기업·근로자 원장","개발","2026-08-17","2026-08-28","기업/근로자 원장·이관 템플릿","10","30"
"[구버전·폐기] 2. VisaDesk 웹 MVP","제품·개발팀","주의","20","상세","2.2.1 기업 계정·사업장 정보·담당자 온보딩","개발","2026-08-17","2026-08-24","기업 온보딩","10","40"
"[구버전·폐기] 2. VisaDesk 웹 MVP","제품·개발팀","주의","20","상세","2.2.2 Excel/CSV 이관 및 근로자·서류 상태관리","개발","2026-08-20","2026-08-28","근로자 원장·표준 이관","5","60"
"[구버전·폐기] 2. VisaDesk 웹 MVP","제품·개발팀","주의","20","대과제","2.3 준법 예외관리·알림","도메인·개발","2026-08-24","2026-09-04","예외 룰·알림·리스크 화면","10","30"
"[구버전·폐기] 2. VisaDesk 웹 MVP","제품·개발팀","주의","20","상세","2.3.1 체류·여권·계약·서류 만료와 누락 체크리스트","도메인·개발","2026-08-24","2026-09-01","예외 룰 v1","15","55"
